CWE-Name, CWE-ID
API / Function Errors,1228
Audit / Logging Errors,1210
Authentication Errors,1211
Authorization Errors,1212
Bad Coding Practices,1006
Behavioral Problems,438
Business Logic Errors,840
Communication Channel Errors,417
Complexity Issues,1226
Concurrency Issues,557
Credentials Management Errors,255
Cryptographic Issues,310
Key Management Errors,320
Data Integrity Issues,1214
Data Processing Errors,19
Data Neutralization Issues,137
Documentation Issues,1225
File Handling Issues,1219
Encapsulation Issues,1227
"Error Conditions, Return Values, Status Codes",389
Expression Issues,569
Handler Errors,429
Information Management Errors,199
Initialization and Cleanup Errors,452
Data Validation Issues,1215
Lockout Mechanism Errors,1216
Memory Buffer Errors,1218
Numeric Errors,189
Permission Issues,275
Pointer Issues,465
Privilege Issues,265
Random Number Issues,1213
Resource Locking Problems,411
Resource Management Errors,399
Signal Errors,387
State Issues,371
String Errors,133
Type Errors,136
User Interface Security Issues,355
User Session Errors,1217
